   INFO: root.utils.print_file_level_classification_summary.FloatTrain: File-Level Classification Summary of FloatTrain:
 +----+------------------+-------------------------------------------------------------------+---------------+--------------------------+-----------------------------+-------------------------------+---------------------+
|    |    True Class    |                               File                                | Total Samples | Predicted as BladeDamage | Predicted as BladeImbalance | Predicted as BladeObstruction | Predicted as Normal |
+----+------------------+-------------------------------------------------------------------+---------------+--------------------------+-----------------------------+-------------------------------+---------------------+
| 0  |   BladeDamage    | 250305_motor_m0_label1_blade_imbalance_vibData_1741170883311.csv  |      71       |            0             |             71              |               0               |          0          |
| 1  |   BladeDamage    | 250305_motor_m0_label1_blade_imbalance_vibData_1741171017982.csv  |      71       |            0             |             71              |               0               |          0          |
| 2  |   BladeDamage    |  250306_motor_m0_label1_BladeImbalance_vibData_1741249859773.csv  |      55       |            0             |             55              |               0               |          0          |
| 3  |   BladeDamage    |   250306_motor_m0_label2_BladeDamage_vibData_1741250314863.csv    |      55       |            55            |              0              |               0               |          0          |
| 4  |   BladeDamage    |   250306_motor_m0_label2_BladeDamage_vibData_1741250320998.csv    |      55       |            55            |              0              |               0               |          0          |
| 5  |   BladeDamage    |   250306_motor_m0_label2_BladeDamage_vibData_1741250339420.csv    |      55       |            55            |              0              |               0               |          0          |
| 6  |   BladeDamage    |   250325_motor_m0_label1_BladeIDamage_vibData_1742889202686.csv   |      71       |            71            |              0              |               0               |          0          |
| 7  |   BladeDamage    |   250325_motor_m0_label1_BladeIDamage_vibData_1742889238380.csv   |      71       |            71            |              0              |               0               |          0          |
| 8  |   BladeDamage    |   250325_motor_m0_label1_BladeIDamage_vibData_1742889259809.csv   |      71       |            71            |              0              |               0               |          0          |
| 9  |   BladeDamage    |   250325_motor_m0_label1_BladeIDamage_vibData_1742889287795.csv   |      71       |            71            |              0              |               0               |          0          |
| 10 |   BladeDamage    |   250325_motor_m0_label1_BladeIDamage_vibData_1742889330533.csv   |      71       |            71            |              0              |               0               |          0          |
| 11 |   BladeDamage    |   250325_motor_m0_label1_BladeIDamage_vibData_1742889337715.csv   |      71       |            71            |              0              |               0               |          0          |
| 12 |   BladeDamage    |   250325_motor_m0_label1_BladeIDamage_vibData_1742889351986.csv   |      71       |            71            |              0              |               0               |          0          |
| 13 |   BladeDamage    |   250325_motor_m0_label1_BladeIDamage_vibData_1742889560312.csv   |      71       |            71            |              0              |               0               |          0          |
| 14 |   BladeDamage    |   250325_motor_m0_label1_BladeIDamage_vibData_1742889567449.csv   |      71       |            71            |              0              |               0               |          0          |
| 15 |   BladeDamage    |   250325_motor_m0_label1_BladeIDamage_vibData_1742889696509.csv   |      71       |            71            |              0              |               0               |          0          |
| 16 |   BladeDamage    |   250325_motor_m0_label1_BladeIDamage_vibData_1742889732626.csv   |      71       |            71            |              0              |               0               |          0          |
| 17 |   BladeDamage    |   250325_motor_m0_label1_BladeIDamage_vibData_1742889746887.csv   |      71       |            71            |              0              |               0               |          0          |
| 18 |   BladeDamage    |   250325_motor_m0_label1_BladeIDamage_vibData_1742889761172.csv   |      71       |            71            |              0              |               0               |          0          |
| 19 |   BladeDamage    |   250325_motor_m0_label1_BladeIDamage_vibData_1742889907890.csv   |      71       |            71            |              0              |               0               |          0          |
| 20 |   BladeDamage    |  250325_motor_m0_label2_BladeImbalance_vibData_1742888770303.csv  |      71       |            0             |             71              |               0               |          0          |
| 21 |   BladeDamage    |  250325_motor_m0_label2_BladeImbalance_vibData_1742888784609.csv  |      71       |            0             |             71              |               0               |          0          |
| 22 |  BladeImbalance  | 250305_motor_m0_label1_blade_imbalance_vibData_1741170840711.csv  |      71       |            0             |             71              |               0               |          0          |
| 23 |  BladeImbalance  | 250305_motor_m0_label1_blade_imbalance_vibData_1741170904572.csv  |      71       |            0             |             71              |               0               |          0          |
| 24 |  BladeImbalance  | 250305_motor_m0_label1_blade_imbalance_vibData_1741170925812.csv  |      71       |            0             |             71              |               0               |          0          |
| 25 |  BladeImbalance  | 250305_motor_m0_label1_blade_imbalance_vibData_1741170932895.csv  |      71       |            0             |             71              |               0               |          0          |
| 26 |  BladeImbalance  | 250305_motor_m0_label1_blade_imbalance_vibData_1741170996752.csv  |      71       |            0             |             71              |               0               |          0          |
| 27 |  BladeImbalance  | 250305_motor_m0_label1_blade_imbalance_vibData_1741171039215.csv  |      71       |            0             |             71              |               0               |          0          |
| 28 |  BladeImbalance  | 250305_motor_m0_label1_blade_imbalance_vibData_1741171046288.csv  |      71       |            0             |             71              |               0               |          0          |
| 29 |  BladeImbalance  |  250306_motor_m0_label1_BladeImbalance_vibData_1741249884360.csv  |      55       |            0             |             55              |               0               |          0          |
| 30 |  BladeImbalance  |  250306_motor_m0_label1_BladeImbalance_vibData_1741249890533.csv  |      55       |            0             |             55              |               0               |          0          |
| 31 |  BladeImbalance  |  250306_motor_m0_label1_BladeImbalance_vibData_1741249896643.csv  |      55       |            0             |             55              |               0               |          0          |
| 32 |  BladeImbalance  |  250325_motor_m0_label2_BladeImbalance_vibData_1742888615248.csv  |      71       |            0             |             71              |               0               |          0          |
| 33 |  BladeImbalance  |  250325_motor_m0_label2_BladeImbalance_vibData_1742888654122.csv  |      71       |            0             |             71              |               0               |          0          |
| 34 |  BladeImbalance  |  250325_motor_m0_label2_BladeImbalance_vibData_1742888661258.csv  |      71       |            0             |             71              |               0               |          0          |
| 35 |  BladeImbalance  |  250325_motor_m0_label2_BladeImbalance_vibData_1742888708185.csv  |      71       |            0             |             71              |               0               |          0          |
| 36 |  BladeImbalance  |  250325_motor_m0_label2_BladeImbalance_vibData_1742888876009.csv  |      71       |            0             |             71              |               0               |          0          |
| 37 |  BladeImbalance  |  250325_motor_m0_label2_BladeImbalance_vibData_1742888964455.csv  |      71       |            0             |             71              |               0               |          0          |
| 38 |  BladeImbalance  |  250325_motor_m0_label2_BladeImbalance_vibData_1742890717834.csv  |      71       |            0             |             71              |               0               |          0          |
| 39 |  BladeImbalance  |  250325_motor_m0_label2_BladeImbalance_vibData_1742890760780.csv  |      71       |            0             |             71              |               0               |          0          |
| 40 |  BladeImbalance  |  250325_motor_m0_label2_BladeImbalance_vibData_1742890775116.csv  |      71       |            0             |             71              |               0               |          0          |
| 41 | BladeObstruction | 250306_motor_m0_label3_BladeObstruction_vibData_1741250612393.csv |      55       |            0             |              0              |              55               |          0          |
| 42 | BladeObstruction | 250306_motor_m0_label3_BladeObstruction_vibData_1741250636939.csv |      55       |            0             |              0              |              55               |          0          |
| 43 | BladeObstruction | 250325_motor_m0_label3_BladeObstruction_vibData_1742888027135.csv |      71       |            0             |              0              |              71               |          0          |
| 44 | BladeObstruction | 250325_motor_m0_label3_BladeObstruction_vibData_1742888041425.csv |      71       |            0             |              0              |              71               |          0          |
| 45 | BladeObstruction | 250325_motor_m0_label3_BladeObstruction_vibData_1742888055693.csv |      71       |            0             |              0              |              71               |          0          |
| 46 | BladeObstruction | 250325_motor_m0_label3_BladeObstruction_vibData_1742888069897.csv |      71       |            0             |              0              |              71               |          0          |
| 47 | BladeObstruction | 250325_motor_m0_label3_BladeObstruction_vibData_1742888084138.csv |      71       |            0             |              0              |              71               |          0          |
| 48 | BladeObstruction | 250325_motor_m0_label3_BladeObstruction_vibData_1742888200835.csv |      71       |            0             |              0              |              71               |          0          |
| 49 | BladeObstruction | 250325_motor_m0_label3_BladeObstruction_vibData_1742888235154.csv |      71       |            0             |              0              |              71               |          0          |
| 50 | BladeObstruction | 250325_motor_m0_label3_BladeObstruction_vibData_1742888288288.csv |      71       |            0             |              0              |              71               |          0          |
| 51 | BladeObstruction | 250325_motor_m0_label3_BladeObstruction_vibData_1742888295504.csv |      71       |            0             |              0              |              71               |          0          |
| 52 | BladeObstruction | 250325_motor_m0_label3_BladeObstruction_vibData_1742888316874.csv |      71       |            0             |              0              |              71               |          0          |
| 53 | BladeObstruction | 250325_motor_m0_label3_BladeObstruction_vibData_1742888342316.csv |      71       |            0             |              0              |              71               |          0          |
| 54 | BladeObstruction | 250325_motor_m0_label3_BladeObstruction_vibData_1742888363721.csv |      71       |            0             |              0              |              71               |          0          |
| 55 |      Normal      |      250305_motor_m0_label0_normal_vibData_1741169982255.csv      |      71       |            0             |              0              |               0               |         71          |
| 56 |      Normal      |      250305_motor_m0_label0_normal_vibData_1741169989360.csv      |      71       |            0             |              0              |               0               |         71          |
| 57 |      Normal      |      250305_motor_m0_label0_normal_vibData_1741170003517.csv      |      71       |            0             |              0              |               0               |         71          |
| 58 |      Normal      |      250305_motor_m0_label0_normal_vibData_1741170038966.csv      |      71       |            0             |              0              |               0               |         71          |
| 59 |      Normal      |      250305_motor_m0_label0_normal_vibData_1741170074422.csv      |      71       |            0             |              0              |               0               |         71          |
| 60 |      Normal      |      250305_motor_m0_label0_normal_vibData_1741170081528.csv      |      71       |            0             |              0              |               0               |         71          |
| 61 |      Normal      |      250305_motor_m0_label0_normal_vibData_1741170088583.csv      |      71       |            0             |              0              |               0               |         71          |
| 62 |      Normal      |      250305_motor_m0_label0_normal_vibData_1741170152257.csv      |      71       |            0             |              0              |               0               |         71          |
| 63 |      Normal      |      250305_motor_m0_label0_normal_vibData_1741170166398.csv      |      71       |            0             |              0              |               0               |         71          |
